Designator,Mid X,Mid Y,Rotation,Layer
C1,113.5,-109.363635,90.0,top
C10,103.5,-51.463635,90.0,top
C13,100.5,-110.75,0.0,bottom
C14,100.5,-97.75,0.0,bottom
C15,100.5,-84.75,0.0,bottom
C16,100.5,-71.75,0.0,bottom
C17,100.5,-58.75,0.0,bottom
C18,118.75,-60.25,90.0,bottom
C19,118.75,-71.5,90.0,bottom
C2,103.5,-103.463635,90.0,top
C20,118.75,-84.0,90.0,bottom
C21,118.75,-96.5,90.0,bottom
C22,118.75,-109.0,90.0,bottom
C24,126.5,-56.136364,270.0,top
C25,117.7,-56.75,270.0,top
C26,126.5,-69.136364,270.0,top
C27,117.7,-69.75,270.0,top
C28,126.5,-82.136364,270.0,top
C29,117.7,-82.75,270.0,top
C3,113.5,-96.363635,90.0,top
C30,126.5,-95.136364,270.0,top
C31,117.7,-95.75,270.0,top
C32,126.5,-108.136364,270.0,top
C33,117.7,-108.75,270.0,top
C4,103.5,-90.463635,90.0,top
C5,113.5,-83.363635,90.0,top
C6,103.5,-77.463635,90.0,top
C7,113.5,-70.363635,90.0,top
C8,103.5,-64.463635,90.0,top
C9,113.5,-57.363635,90.0,top
D1,99.75,-101.5,270.0,bottom
D10,99.75,-49.5,270.0,bottom
D11,126.5,-69.75,270.0,bottom
D12,126.5,-82.75,270.0,bottom
D13,126.5,-49.0,0.0,top
D14,101.25,-49.5,270.0,bottom
D15,126.5,-95.75,270.0,bottom
D16,115.75,-53.0,270.0,bottom
D17,117.25,-53.0,270.0,bottom
D18,115.75,-64.25,270.0,bottom
D19,117.25,-64.25,270.0,bottom
D2,126.5,-56.75,270.0,bottom
D20,115.75,-76.75,270.0,bottom
D21,117.25,-76.75,270.0,bottom
D22,115.75,-89.25,270.0,bottom
D23,117.25,-89.25,270.0,bottom
D24,115.75,-101.75,270.0,bottom
D25,117.25,-101.75,270.0,bottom
D26,126.5,-108.75,270.0,bottom
D27,113.5,-108.75,90.0,bottom
D28,113.5,-95.75,90.0,bottom
D29,113.5,-82.75,90.0,bottom
D3,101.25,-101.5,270.0,bottom
D30,113.5,-69.75,90.0,bottom
D31,113.5,-56.75,90.0,bottom
D32,133.75,-56.75,270.0,bottom
D33,133.75,-69.75,270.0,bottom
D34,133.75,-82.75,270.0,bottom
D35,133.75,-95.75,270.0,bottom
D36,133.75,-108.75,270.0,bottom
D37,103.5,-102.25,90.0,bottom
D38,103.5,-89.25,90.0,bottom
D39,103.5,-76.25,90.0,bottom
D4,99.75,-88.5,270.0,bottom
D40,103.5,-63.25,90.0,bottom
D41,103.5,-50.25,90.0,bottom
D5,101.25,-88.5,270.0,bottom
D6,99.75,-75.5,270.0,bottom
D7,101.25,-75.5,270.0,bottom
D8,99.75,-62.5,270.0,bottom
D9,101.25,-62.5,270.0,bottom
F1,127.25,-49.25,90.0,bottom
J1,116.5,-47.25,0.0,top
Q1,106.75,-103.1,270.0,bottom
Q10,123.5,-95.5,90.0,bottom
Q11,123.5,-108.0,90.0,bottom
Q2,106.75,-90.1,270.0,bottom
Q3,106.75,-77.1,270.0,bottom
Q5,106.75,-64.1,270.0,bottom
Q6,106.75,-51.1,270.0,bottom
Q7,123.5,-58.0,90.0,bottom
Q8,123.5,-70.4,90.0,bottom
Q9,123.5,-83.0,90.0,bottom
R1,100.5,-112.25,180.0,bottom
R13,100.5,-99.25,180.0,bottom
R15,106.75,-96.5,90.0,bottom
R16,100.5,-90.75,0.0,bottom
R17,110.25,-93.25,90.0,bottom
R18,100.5,-92.25,0.0,bottom
R19,100.5,-86.25,180.0,bottom
R21,106.75,-83.5,90.0,bottom
R22,100.5,-77.75,0.0,bottom
R23,110.25,-80.25,90.0,bottom
R24,100.5,-79.25,0.0,bottom
R25,100.5,-73.25,180.0,bottom
R27,106.75,-70.5,90.0,bottom
R28,100.5,-64.75,0.0,bottom
R29,110.25,-67.25,90.0,bottom
R3,106.75,-109.5,90.0,bottom
R30,100.5,-66.25,0.0,bottom
R31,100.5,-60.25,180.0,bottom
R33,106.75,-57.5,90.0,bottom
R34,100.5,-51.75,0.0,bottom
R35,110.25,-54.25,90.0,bottom
R36,100.5,-53.25,0.0,bottom
R37,120.25,-60.25,90.0,bottom
R39,123.5,-51.75,270.0,bottom
R4,100.5,-103.75,0.0,bottom
R40,116.5,-55.25,0.0,bottom
R41,120.0,-54.5,270.0,bottom
R42,116.5,-56.75,0.0,bottom
R43,120.25,-71.5,90.0,bottom
R45,123.5,-64.25,270.0,bottom
R46,116.5,-66.5,0.0,bottom
R47,120.0,-65.9,270.0,bottom
R48,116.5,-68.0,0.0,bottom
R49,120.25,-84.0,90.0,bottom
R5,110.25,-106.25,90.0,bottom
R51,123.5,-76.75,270.0,bottom
R52,116.5,-79.0,0.0,bottom
R53,120.0,-78.5,270.0,bottom
R54,116.5,-80.5,0.0,bottom
R55,120.25,-96.5,90.0,bottom
R57,123.5,-89.25,270.0,bottom
R58,116.5,-91.5,0.0,bottom
R59,120.0,-91.0,270.0,bottom
R6,100.5,-105.25,0.0,bottom
R60,116.5,-93.0,0.0,bottom
R61,120.25,-109.0,90.0,bottom
R63,123.5,-101.75,270.0,bottom
R64,116.5,-104.0,0.0,bottom
R65,120.0,-103.5,270.0,bottom
R66,116.5,-105.5,0.0,bottom
R67,123.5,-49.0,180.0,top
U1,100.5,-108.0,270.0,bottom
U10,116.5,-95.75,270.0,bottom
U11,116.5,-108.25,270.0,bottom
U3,100.5,-95.0,270.0,bottom
U4,100.5,-82.0,270.0,bottom
U5,100.5,-69.0,270.0,bottom
U6,100.5,-56.0,270.0,bottom
U7,116.5,-59.5,270.0,bottom
U8,116.5,-70.75,270.0,bottom
U9,116.5,-83.25,270.0,bottom
